Date,Price,Dividend,Earnings,CPI,Date_Fraction,GS10,Real_Price,Real_Dividend,RTR_Price,Real_Earnings,Real_TR_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Month_total_bond_Returns,Real_month_bond_Returns,10Y_stock_returns,10Y_bond_returns,Real_10Y_excess_Returns
1874-03-01,4.73,0.33,0.46,12.36889587,1874.2083333333305,5.403333333333332,120.72289925422427,8.422527854945878,145.9826008883104,11.740493373560922,14.197039409856824,,,,1.0070613220358624,1.1891892419533379,0.10542636932176053,0.08924563509070738,0.01618073423105315
1874-04-01,4.6,0.33,0.46,12.17864628,1874.2916666666638,5.37,119.23898326735869,8.554100973527907,145.05018936081217,11.923898326735872,14.50501893608122,,,,1.007037422588707,1.2162946727781339,0.10390272399850331,0.08946159627440897,0.014441127724094338
1874-05-01,4.48,0.33,0.46,12.08348099,1874.374999999997,5.336666666666667,117.04298795772762,8.62147009510047,143.25281258181877,12.01780679923096,14.708994149026035,,,,1.0070135314120179,1.2345007781010944,0.098946329803004,0.09056336273159538,0.00838296707140862
1874-06-01,4.46,0.33,0.46,11.79806612,1874.4583333333303,5.303333333333334,119.33929897317785,8.830037816401052,146.96395893187898,12.308537562256014,15.157717737368687,,,,1.0069896485261771,1.273233074582096,0.09222672713125957,0.08759934236332301,0.00462738476793656
1874-07-01,4.46,0.33,0.46,11.8932314,1874.5416666666636,5.27,118.38438962854119,8.759383089107308,146.68692426451764,12.210049154513218,15.129144655084781,,,,1.006965773951622,1.2718733715616586,0.09426240001379371,0.08929108193502922,0.004971318078764497
1874-08-01,4.47,0.33,0.46,11.79806612,1874.6249999999968,5.236666666666666,119.60687587670515,8.830037816401052,149.11342947607855,12.308537562256014,15.345006165323525,,,,1.0069419077088448,1.291063571619315,0.09975115768984222,0.08805959345912306,0.011691564230719154
1874-09-01,4.54,0.33,0.46,11.79806612,1874.70833333333,5.203333333333333,121.47991420139628,8.830037816401052,152.36590360894604,12.308537562256014,15.437954991214799,,,,1.0069180498183923,1.3000260157797479,0.0956785588115232,0.08889449576664332,0.006784063044879884
1874-10-01,4.53,0.33,0.46,11.60773554,1874.7916666666633,5.17,123.1998407503347,8.974822836117097,155.46117178150644,12.510359104890501,15.78634415441346,,,,1.0068942003008658,1.330483491289112,0.09169518026330481,0.08797415230288252,0.003721027960422285
1874-11-01,4.57,0.33,0.46,11.51265124,1874.8749999999966,5.136666666666667,125.31420434134513,9.048946921803914,159.0807497752963,12.613683587969094,16.012504353749737,,,,1.0068703591769228,1.350720483628871,0.09005090275792615,0.08917331041191146,0.0008775923460146995
1874-12-01,4.54,0.33,0.46,11.51265124,1874.9583333333298,5.1033333333333335,124.49157280299931,9.048946921803914,158.99372529511288,12.613683587969094,16.10949639554007,,,,1.0068465264672748,1.3600004184990284,0.09175396091007482,0.09006911079930058,0.0016848501107742386
