Date,Prediction,Actual,RMSE
1978-06-01,12.323935336289393,9.12427446160417,3.1996608746852235
1978-07-01,7.068358462070753,9.13467085775028,2.0663123956795264
1978-08-01,14.727169447440415,8.18158447201311,6.545584975427305
1978-09-01,15.184759031973892,8.35417319112878,6.830585840845112
1978-10-01,12.303449652627982,9.12731891750973,3.176130735118253
1978-11-01,11.636842095288728,9.55532222395814,2.0815198713305882
1978-12-01,12.049143684755087,9.629254190730279,2.419889494024808
1979-01-01,7.562061891773442,9.60033615161357,2.0382742598401284
1979-02-01,12.100023868531649,10.156353988021149,1.9436698805105
1979-03-01,12.36863050342913,9.93159807436503,2.4370324290641
1979-04-01,12.04274794328893,10.10617980298147,1.9365681403074593
1979-05-01,8.098291958201767,10.8400152970846,2.7417233388828333
1979-06-01,8.718227188337652,11.04179791658224,2.3235707282445883
1979-07-01,8.846250089460003,11.287090177119929,2.440840087659925
1979-08-01,11.937009643425126,11.34078443352586,0.5962252098992664
1979-09-01,12.049331871385746,11.30555260361936,0.7437792677663868
1979-10-01,8.407518823912632,11.75345005739023,3.3459312334775984
1979-11-01,9.022258572037748,11.66186041560251,2.639601843564762
1979-12-01,8.32913660235251,11.581447133810329,3.2523105314578196
1980-01-01,8.829059313371282,11.01402082141322,2.1849615080419387
1980-02-01,11.782185934586014,10.35778271132481,1.4244032232612032
1980-03-01,7.997151619870101,11.78175713323863,3.784605513368529
1980-04-01,8.113336396557493,12.04204269759121,3.928706301033717
1980-05-01,7.961069635112681,11.998882624858789,4.037812989746108
1980-06-01,9.339917151358957,11.66744129574879,2.327524144389832
1980-07-01,10.460886218958294,11.10316674280786,0.6422805238495659
1980-08-01,11.870914860048078,9.79691859901767,2.0739962610304072
1980-09-01,10.546510087223988,9.0057723227128,1.5407377645111868
1980-10-01,7.620225192988162,8.43323771458806,0.813012521599898
1980-11-01,12.742021296600551,8.32776648239526,4.414254814205291
1980-12-01,7.103017560792971,9.05256609547462,1.9495485346816501
1981-01-01,7.5559778760832454,8.999376528357491,1.4433986522742455
1981-02-01,8.457993622099663,10.64422441133434,2.1862307892346777
1981-03-01,12.096844708774652,10.58547408601895,1.5113706227557024
1981-04-01,12.05778268795462,10.74859855654792,1.3091841314067008
1981-05-01,8.433809877624945,10.96327145013311,2.529461572508165
1981-06-01,8.398483496387765,10.97245625758118,2.5739727611934153
