Date,Price,Dividend,Earnings,Date_Fraction,GS10,Real_Price,Real_Dividend,RTR_Price,Real_Earnings,Real_TR_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Month_total_bond_Returns,Real_month_bond_Returns,10Y_stock_returns,10Y_bond_returns,Real_10Y_excess_Returns,ReturnVol,BondVol,SVAR,TBL,DFY,DFR,CPI,Real_10Y_Yield
1969-11-01,96.21,3.15667,5.81667,1969.8749999999102,7.14,809.9316984000002,26.57402655013334,118571.15628606749,48.96689961680001,7168.582139429168,18.437760084691035,21.215681439338873,0.007469652335525358,0.9705792605108994,10.521182965612146,-0.022925778303101385,-0.019618585245797182,-0.003307193057304203,0.6338558751964741,0.0018084582080441234,100.93587300000002,0.027,0.9000000000000004,1.1100000000000003,5.932203389830515,0.0348998218309431
1969-12-01,91.11,3.16,5.78,1969.9583333332434,7.65,762.9290395225465,26.460934748010615,112012.94775277727,48.400064190981446,7106.07878400892,17.326929913742678,19.94514475247209,0.006391921886656243,0.9967243031080518,10.157468815447984,-0.01413703598923477,-0.014771464629442566,0.0006344286402077959,0.6425790775686526,0.0018953857639226852,104.106684,0.029,0.9300000000000006,1.0,6.197183098591563,0.0393744452894104
1970-01-01,90.31,3.16333,5.73,1970.0416666665767,7.79,754.2294600529103,26.418742972751335,111058.91131792447,47.85444365079367,7046.479480142922,17.0905413951402,19.681596538879777,0.006411243374265234,1.0453262030836263,10.097412439047684,-0.011477621398428561,-0.017199657072738628,0.005722035674310066,0.6725505609626377,0.0021617503289967275,113.906069,0.029,0.9499999999999993,1.0699999999999994,6.179775280898858,0.0407653257547876
1970-02-01,87.16,3.16667,5.68,1970.12499999991,7.24,724.0908747368422,26.307444358684215,106943.86990491583,47.18719789473685,6969.265500916956,16.372586787159843,18.865300867228132,0.01466888169378601,1.0181267352323757,10.499536701637624,-0.004854911644923132,-0.03079532454964351,0.025940412904720378,0.6817780612341837,0.0023312421178804795,117.781237,0.032,0.8499999999999996,1.5399999999999991,6.145251396648055,0.0357553210750482
1970-03-01,88.65,3.17,5.63,1970.2083333332432,7.07,732.6133468586389,26.197228534031417,108525.01891050467,46.52693900523561,6892.226243272885,16.531690813943612,19.058795732982503,0.016319779332802604,0.9834450156947917,10.633891175200292,-0.016882974241758664,-0.03433532259673633,0.017452348354977665,0.6928374244860622,0.002800034781292867,120.661434,0.027,0.7900000000000009,1.5600000000000005,5.817174515235468,0.0335951689968354
1970-04-01,85.95,3.17333,5.59333,1970.2916666665765,7.39,704.7654428571431,26.02039933428572,104721.00374637246,45.8637079057143,6814.882279054073,15.873067819354054,18.311411111344018,0.016084252196537197,0.9704989488088209,10.37635755467578,-0.015618191268961579,-0.02501350899432009,0.00939531772535851,0.7053256063784221,0.0026279771371826516,125.255347,0.023,0.8699999999999992,1.3099999999999996,6.060606060606077,0.0380130432132213
1970-05-01,76.06,3.17667,5.55667,1970.3749999999097,7.91,622.0545424870468,25.980305068134722,92752.70286322586,45.44506724430053,6776.178824861968,13.983836060789187,16.149570146153554,0.01966203214030364,1.0114065562340058,10.04415538399421,0.0003291134671612461,-0.014347637263584123,0.01467675073074537,0.738668616777939,0.0027820415641495564,139.115747,0.025,0.870000000000001,1.0700000000000003,6.043956043956045,0.0425882544823263
1970-06-01,75.59,3.18,5.52,1970.458333333243,7.84,615.024007989691,25.873479896907224,92025.89390959454,44.9124556701031,6720.239904497443,13.799691797725176,15.955062559858007,0.021499547604048097,1.0331072842441178,10.10636004737388,0.00668458017734519,-0.012755533215716874,0.019440113393062064,0.9478030790759616,0.0026228224293175883,228.490947,0.026,0.7699999999999996,1.4100000000000001,6.010928961748618,0.0422511167161225
1970-07-01,75.72,3.18333,5.46667,1970.5416666665762,7.46,612.9223353846155,25.767750368461545,92032.72300065354,44.25045091358975,6644.380954120215,13.726499744359762,15.888935332500374,0.026214326254140635,1.0013364030516227,10.387410827355499,0.011574313955990734,-0.017551010788146693,0.029125324744137426,0.978945828093667,0.002513817503676125,243.930429,0.024,0.9600000000000009,1.9400000000000004,5.978260869565233,0.0388995777716481
1970-08-01,77.92,3.18667,5.41333,1970.6249999999095,7.53,630.730432820513,25.794786298205132,95029.44536002772,43.81868549666668,6601.97314490245,14.10045651681544,16.339508329168634,0.023582231493170902,1.0160954098001953,10.401292594883635,0.011089305510932679,-0.02263923450638461,0.03372854001731729,0.9684934374594111,0.002579302520535927,236.645227,0.025,1.3099999999999987,1.9099999999999993,5.405405405405395,0.0398554115541246
1970-09-01,82.58,3.19,5.36,1970.7083333332428,7.39,665.040755612245,25.689997704081637,100521.38446882417,43.16563877551021,6524.517083469334,14.842661145242214,17.215125541252277,0.021961852727596348,1.0103781482444136,10.514783693988544,0.0073995040543766155,-0.025982514542431612,0.03338201859680823,0.9911743743136004,0.002497871097602231,247.31294400000002,0.025,1.3000000000000007,2.000000000000001,5.660377358490565,0.0401634642092492
1970-10-01,84.37,3.17333,5.28333,1970.791666666576,7.33,676.0071302030459,25.426024730203054,102499.22328946157,42.33221229365484,6418.599281520815,15.064185404089628,17.486678518763018,0.021401934611650103,1.0413211919527887,10.569979212552536,0.00777861855123585,-0.027846164942143425,0.035624783493379275,0.997598729824673,0.002396253716222472,250.025397,0.021,1.3000000000000007,2.0,5.630026809651478,0.0391112738722305
1970-11-01,84.28,3.15667,5.20667,1970.8749999999093,6.84,671.8754777777779,25.16479786944445,102190.73027385068,41.50728398055556,6313.163379152232,14.950761908791725,17.36984898530782,0.027326345228659857,1.0386907764634588,10.951153739639832,0.011810279795561707,-0.036280350482559065,0.04809063027812077,1.0018812938193211,0.0028346889298979643,252.786889,0.023,1.33,2.540000000000001,5.600000000000005,0.0347523120166056
1970-12-01,90.05,3.14,5.13,1970.9583333332425,6.39,714.2661922110555,24.906117085427145,108953.9417212557,40.69056708542715,6206.9263856750895,15.873840687205739,18.454515548006185,0.02845528742112456,1.016395803221401,11.317702268529887,0.003155575152984369,-0.040187095108721205,0.043342670261705574,1.0071302778158298,0.0029316153495156892,254.644825,0.019,1.4799999999999995,2.7299999999999995,5.570291777188308,0.0299374740511908
1971-01-01,93.49,3.13,5.16,1971.0416666665758,6.24,741.5518746231157,24.82679824120604,113431.68052547649,40.928523618090466,6260.64254477975,16.461793943491937,19.149002748259782,0.02770528170498273,1.0148506806126156,11.503265087843108,-0.0016709123430016515,-0.04006313934252104,0.038392226999519385,0.9940216774408314,0.003267155152245545,248.009545,0.019,1.38,2.5,5.291005291005302,0.0282257009509746
1971-02-01,97.11,3.12,5.19,1971.124999999909,6.11,768.3348067669175,24.685455639097754,117843.20700244371,41.06330601503761,6298.076864820131,17.034534781502124,19.824574232687638,0.027221175943178084,1.0360949321896797,11.644838016688313,-0.009586367071483082,-0.04452039276429598,0.0349340256928129,0.9803665743843535,0.003319366965711617,241.88778700000003,0.017,1.3100000000000005,2.2800000000000002,5.000000000000004,0.0280074734074469
